shipment_id,order_date,delivery_date,region,origin,destination,service_type,delivery_status,estimated_days,actual_days,delay_days,distance_km,distribution_center,customer_segment
VLX-2026-000032,2026-07-23,2026-07-28,South,Salvador/BA,Porto Alegre/RS,STANDARD,DELIVERED_ON_TIME,5,5,0,483,DC-PR-01,RETAIL
VLX-2026-000033,2026-04-04,2026-04-10,Central-West,Belo Horizonte/MG,Brasilia/DF,STANDARD,DELIVERED_ON_TIME,7,6,0,1160,DC-GO-01,RETAIL
VLX-2026-000034,2026-01-29,2026-02-03,Southeast,Porto Velho/RO,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,5,5,0,310,DC-MG-01,ENTERPRISE
VLX-2026-000035,2026-07-15,2026-07-21,Southeast,Brasilia/DF,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,6,6,0,1072,DC-RJ-01,RETAIL
VLX-2026-000036,2026-04-21,2026-04-27,Northeast,Belo Horizonte/MG,Fortaleza/CE,STANDARD,DELIVERED_ON_TIME,6,6,0,1691,DC-CE-01,RETAIL
VLX-2026-000037,2026-08-12,2026-08-17,Southeast,Cuiaba/MT,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,5,5,0,789,DC-RJ-01,RETAIL
VLX-2026-000038,2026-01-05,2026-01-07,South,Belo Horizonte/MG,Florianopolis/SC,EXPRESS,DELIVERED_ON_TIME,2,2,0,129,DC-PR-01,ENTERPRISE
VLX-2026-000039,2026-06-08,2026-06-10,Central-West,Belem/PA,Goiania/GO,EXPRESS,DELIVERED_ON_TIME,3,2,0,893,DC-DF-01,RETAIL
VLX-2026-000040,2026-07-01,2026-07-03,Southeast,Recife/PE,Sao Paulo/SP,EXPRESS,DELIVERED_ON_TIME,2,2,0,191,DC-RJ-01,RETAIL
VLX-2026-000041,2026-05-30,2026-06-08,Northeast,Sao Paulo/SP,Salvador/BA,STANDARD,DELIVERED_LATE,6,9,3,864,DC-BA-01,ENTERPRISE
VLX-2026-000042,2026-01-08,2026-01-16,Central-West,Salvador/BA,Brasilia/DF,STANDARD,DELIVERED_LATE,6,8,2,584,DC-GO-01,SMB
VLX-2026-000043,2026-03-02,2026-03-10,Central-West,Recife/PE,Brasilia/DF,STANDARD,DELIVERED_LATE,6,8,2,727,DC-GO-01,RETAIL
VLX-2026-000044,2026-05-28,2026-05-31,South,Curitiba/PR,Curitiba/PR,EXPRESS,DELIVERED_LATE,2,3,1,1006,DC-RS-01,RETAIL
VLX-2026-000045,2026-04-28,2026-05-04,South,Rio de Janeiro/RJ,Porto Alegre/RS,STANDARD,DELIVERED_ON_TIME,6,6,0,760,DC-RS-01,RETAIL
VLX-2026-000046,2026-07-02,2026-07-03,Southeast,Belo Horizonte/MG,Sao Paulo/SP,EXPRESS,DELIVERED_ON_TIME,2,1,0,628,DC-MG-01,ENTERPRISE
VLX-2026-000047,2026-04-16,2026-04-21,Southeast,Rio de Janeiro/RJ,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,5,5,0,843,DC-SP-01,RETAIL
VLX-2026-000048,2026-02-10,2026-02-12,Southeast,Cuiaba/MT,Belo Horizonte/MG,EXPRESS,DELIVERED_ON_TIME,2,2,0,424,DC-SP-01,ENTERPRISE
VLX-2026-000049,2026-04-21,2026-04-27,Southeast,Sao Paulo/SP,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,6,6,0,553,DC-MG-01,RETAIL
VLX-2026-000050,2026-06-26,2026-07-02,South,Goiania/GO,Curitiba/PR,STANDARD,DELIVERED_ON_TIME,6,6,0,1272,DC-PR-01,RETAIL
VLX-2026-000051,2026-04-28,2026-05-03,Southeast,Manaus/AM,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,5,5,0,240,DC-MG-01,RETAIL
VLX-2026-000052,2026-04-28,2026-05-06,North,Rio de Janeiro/RJ,Manaus/AM,STANDARD,DELIVERED_ON_TIME,8,8,0,457,DC-AM-01,RETAIL
VLX-2026-000053,2026-06-07,2026-06-12,South,Belo Horizonte/MG,Curitiba/PR,STANDARD,DELIVERED_ON_TIME,5,5,0,967,DC-PR-01,RETAIL
VLX-2026-000054,2026-02-02,2026-02-08,Northeast,Goiania/GO,Fortaleza/CE,STANDARD,DELIVERED_ON_TIME,6,6,0,603,DC-PE-01,RETAIL
VLX-2026-000055,2026-07-11,2026-07-13,Northeast,Sao Paulo/SP,Recife/PE,EXPRESS,DELIVERED_ON_TIME,3,2,0,1536,DC-CE-01,RETAIL
VLX-2026-000056,2026-05-01,2026-05-04,Central-West,Recife/PE,Goiania/GO,EXPRESS,DELIVERED_ON_TIME,3,3,0,316,DC-DF-01,SMB
VLX-2026-000057,2026-03-16,2026-03-21,South,Brasilia/DF,Porto Alegre/RS,STANDARD,DELIVERED_ON_TIME,6,5,0,756,DC-RS-01,ENTERPRISE
VLX-2026-000058,2026-05-06,2026-05-12,Central-West,Sao Paulo/SP,Goiania/GO,STANDARD,DELIVERED_ON_TIME,6,6,0,891,DC-DF-01,ENTERPRISE
VLX-2026-000059,2026-01-17,2026-01-22,Southeast,Fortaleza/CE,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,5,5,0,262,DC-MG-01,RETAIL
VLX-2026-000060,2026-07-11,2026-07-15,Southeast,Cuiaba/MT,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,5,4,0,704,DC-SP-01,RETAIL
VLX-2026-000061,2026-02-04,2026-02-06,Central-West,Belo Horizonte/MG,Cuiaba/MT,EXPRESS,DELIVERED_ON_TIME,3,2,0,318,DC-DF-01,RETAIL
VLX-2026-000062,2026-06-28,2026-07-02,Southeast,Curitiba/PR,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,5,4,0,119,DC-MG-01,SMB
VLX-2026-000063,2026-05-09,2026-05-13,North,Curitiba/PR,Belem/PA,EXPRESS,DELIVERED_ON_TIME,4,4,0,956,DC-AM-01,RETAIL
VLX-2026-000064,2026-04-01,2026-04-03,Southeast,Sao Paulo/SP,Rio de Janeiro/RJ,EXPRESS,DELIVERED_ON_TIME,2,2,0,518,DC-MG-01,RETAIL
VLX-2026-000065,2026-01-11,2026-01-17,Northeast,Curitiba/PR,Salvador/BA,STANDARD,DELIVERED_ON_TIME,6,6,0,470,DC-PE-01,RETAIL
VLX-2026-000066,2026-01-21,2026-01-27,Central-West,Manaus/AM,Cuiaba/MT,STANDARD,DELIVERED_ON_TIME,6,6,0,243,DC-DF-01,RETAIL
VLX-2026-000067,2026-07-24,2026-07-29,Southeast,Rio de Janeiro/RJ,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,5,5,0,191,DC-MG-01,RETAIL
VLX-2026-000068,2026-06-11,2026-06-17,Central-West,Goiania/GO,Brasilia/DF,STANDARD,DELIVERED_ON_TIME,6,6,0,556,DC-DF-01,RETAIL
VLX-2026-000069,2026-06-22,2026-06-26,Southeast,Cuiaba/MT,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,5,4,0,235,DC-RJ-01,ENTERPRISE
VLX-2026-000070,2026-06-03,2026-06-08,Northeast,Manaus/AM,Recife/PE,STANDARD,DELIVERED_ON_TIME,6,5,0,1778,DC-BA-01,RETAIL
VLX-2026-000071,2026-05-19,2026-05-27,North,Recife/PE,Belem/PA,STANDARD,DELIVERED_LATE,7,8,1,455,DC-AM-01,RETAIL
VLX-2026-000072,2026-06-20,2026-06-25,South,Sao Paulo/SP,Porto Alegre/RS,STANDARD,DELIVERED_ON_TIME,5,5,0,1141,DC-RS-01,RETAIL
VLX-2026-000073,2026-05-07,2026-05-18,Northeast,Sao Paulo/SP,Salvador/BA,EXPRESS,DELIVERED_LATE,4,11,7,1713,DC-CE-01,ENTERPRISE
VLX-2026-000074,2026-07-27,2026-08-02,Central-West,Florianopolis/SC,Brasilia/DF,STANDARD,DELIVERED_ON_TIME,6,6,0,324,DC-DF-01,RETAIL
VLX-2026-000075,2026-06-27,2026-06-28,Southeast,Rio de Janeiro/RJ,Belo Horizonte/MG,EXPRESS,DELIVERED_ON_TIME,2,1,0,861,DC-MG-01,SMB
VLX-2026-000076,2026-01-25,2026-02-03,Northeast,Florianopolis/SC,Fortaleza/CE,STANDARD,DELIVERED_LATE,6,9,3,675,DC-PE-01,RETAIL
VLX-2026-000077,2026-03-21,2026-03-24,Central-West,Belo Horizonte/MG,Cuiaba/MT,EXPRESS,DELIVERED_ON_TIME,4,3,0,776,DC-GO-01,RETAIL
VLX-2026-000078,2026-05-11,2026-05-19,Northeast,Belo Horizonte/MG,Recife/PE,EXPRESS,DELIVERY_EXCEPTION,4,8,4,285,DC-PE-01,RETAIL
VLX-2026-000079,2026-02-07,2026-02-10,Northeast,Fortaleza/CE,Fortaleza/CE,EXPRESS,DELIVERED_ON_TIME,3,3,0,589,DC-CE-01,SMB
VLX-2026-000080,2026-02-12,2026-02-18,South,Belo Horizonte/MG,Curitiba/PR,STANDARD,DELIVERED_ON_TIME,6,6,0,680,DC-RS-01,RETAIL
VLX-2026-000081,2026-08-09,2026-08-17,Southeast,Rio de Janeiro/RJ,Rio de Janeiro/RJ,STANDARD,DELIVERED_LATE,5,8,3,614,DC-RJ-01,RETAIL
VLX-2026-000082,2026-01-16,2026-01-18,South,Fortaleza/CE,Porto Alegre/RS,EXPRESS,DELIVERED_ON_TIME,2,2,0,591,DC-RS-01,RETAIL
VLX-2026-000083,2026-03-22,2026-03-26,North,Rio de Janeiro/RJ,Manaus/AM,EXPRESS,DELIVERED_ON_TIME,4,4,0,2109,DC-PA-01,RETAIL
VLX-2026-000084,2026-08-04,2026-08-09,Southeast,Goiania/GO,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,5,5,0,795,DC-MG-01,RETAIL
VLX-2026-000085,2026-03-22,2026-03-29,Northeast,Curitiba/PR,Fortaleza/CE,EXPRESS,DELIVERY_EXCEPTION,3,7,4,874,DC-CE-01,RETAIL
VLX-2026-000086,2026-01-05,2026-01-13,South,Sao Paulo/SP,Curitiba/PR,STANDARD,DELIVERED_LATE,5,8,3,648,DC-PR-01,SMB
VLX-2026-000087,2026-05-31,2026-06-01,South,Fortaleza/CE,Florianopolis/SC,EXPRESS,DELIVERED_ON_TIME,2,1,0,1229,DC-RS-01,RETAIL
VLX-2026-000088,2026-04-16,2026-04-21,Southeast,Florianopolis/SC,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,5,5,0,830,DC-MG-01,RETAIL
VLX-2026-000089,2026-08-13,2026-08-18,Southeast,Belo Horizonte/MG,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,5,5,0,377,DC-RJ-01,SMB
VLX-2026-000090,2026-03-15,2026-03-20,Southeast,Brasilia/DF,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,5,5,0,945,DC-MG-01,SMB
VLX-2026-000091,2026-02-04,2026-02-08,Southeast,Belo Horizonte/MG,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,5,4,0,671,DC-SP-01,RETAIL
VLX-2026-000092,2026-08-14,2026-08-20,Northeast,Porto Alegre/RS,Fortaleza/CE,STANDARD,DELIVERED_ON_TIME,6,6,0,440,DC-CE-01,SMB
VLX-2026-000093,2026-05-07,2026-05-12,Southeast,Sao Paulo/SP,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,5,5,0,84,DC-SP-01,RETAIL
VLX-2026-000094,2026-03-27,2026-04-01,Northeast,Salvador/BA,Recife/PE,STANDARD,DELIVERED_ON_TIME,6,5,0,663,DC-CE-01,RETAIL
VLX-2026-000095,2026-08-11,2026-08-19,North,Salvador/BA,Porto Velho/RO,STANDARD,DELIVERED_ON_TIME,8,8,0,1755,DC-PA-01,SMB
VLX-2026-000096,2026-07-27,2026-08-02,Southeast,Recife/PE,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,6,6,0,661,DC-SP-01,RETAIL
VLX-2026-000097,2026-05-28,2026-05-31,Southeast,Cuiaba/MT,Sao Paulo/SP,EXPRESS,DELIVERED_ON_TIME,3,3,0,400,DC-MG-01,ENTERPRISE
VLX-2026-000098,2026-03-25,2026-03-29,Southeast,Fortaleza/CE,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,5,4,0,627,DC-MG-01,ENTERPRISE
VLX-2026-000099,2026-06-08,2026-06-16,North,Rio de Janeiro/RJ,Manaus/AM,STANDARD,DELIVERED_ON_TIME,8,8,0,1194,DC-AM-01,SMB
VLX-2026-000100,2026-08-01,2026-08-03,Southeast,Belo Horizonte/MG,Belo Horizonte/MG,EXPRESS,DELIVERED_ON_TIME,2,2,0,564,DC-SP-01,RETAIL
VLX-2026-000101,2026-06-26,2026-07-01,Southeast,Salvador/BA,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,6,5,0,454,DC-RJ-01,ENTERPRISE
VLX-2026-000102,2026-07-18,2026-07-23,South,Fortaleza/CE,Porto Alegre/RS,STANDARD,DELIVERED_ON_TIME,5,5,0,1028,DC-PR-01,RETAIL
VLX-2026-000103,2026-04-04,2026-04-09,Southeast,Goiania/GO,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,6,5,0,843,DC-MG-01,ENTERPRISE
VLX-2026-000104,2026-01-22,2026-01-25,Southeast,Belem/PA,Belo Horizonte/MG,EXPRESS,DELIVERED_LATE,2,3,1,451,DC-MG-01,RETAIL
VLX-2026-000105,2026-08-08,2026-08-12,Southeast,Belo Horizonte/MG,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,5,4,0,183,DC-SP-01,SMB
VLX-2026-000106,2026-06-08,2026-06-13,Southeast,Porto Alegre/RS,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,5,5,0,184,DC-SP-01,RETAIL
VLX-2026-000107,2026-05-08,2026-05-14,Southeast,Cuiaba/MT,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,6,6,0,556,DC-MG-01,ENTERPRISE
VLX-2026-000108,2026-02-17,2026-02-19,Southeast,Sao Paulo/SP,Sao Paulo/SP,EXPRESS,DELIVERED_ON_TIME,2,2,0,1085,DC-MG-01,RETAIL
VLX-2026-000109,2026-06-08,2026-06-13,Southeast,Porto Alegre/RS,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,5,5,0,881,DC-SP-01,SMB
VLX-2026-000110,2026-08-03,2026-08-06,Northeast,Curitiba/PR,Recife/PE,EXPRESS,DELIVERED_ON_TIME,3,3,0,719,DC-BA-01,RETAIL
VLX-2026-000111,2026-07-15,2026-07-20,Southeast,Porto Velho/RO,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,5,5,0,497,DC-MG-01,RETAIL
VLX-2026-000112,2026-01-15,2026-01-18,Southeast,Porto Alegre/RS,Sao Paulo/SP,EXPRESS,DELIVERED_ON_TIME,3,3,0,130,DC-RJ-01,RETAIL
VLX-2026-000113,2026-01-15,2026-01-22,Central-West,Belo Horizonte/MG,Cuiaba/MT,STANDARD,DELIVERED_ON_TIME,7,7,0,1611,DC-DF-01,RETAIL
VLX-2026-000114,2026-02-18,2026-02-26,North,Cuiaba/MT,Belem/PA,STANDARD,DELIVERED_ON_TIME,8,8,0,293,DC-AM-01,RETAIL
VLX-2026-000115,2026-08-02,2026-08-12,South,Belo Horizonte/MG,Porto Alegre/RS,STANDARD,DELIVERED_LATE,6,10,4,668,DC-PR-01,RETAIL
VLX-2026-000116,2026-03-07,2026-03-09,Southeast,Belo Horizonte/MG,Rio de Janeiro/RJ,EXPRESS,DELIVERED_ON_TIME,2,2,0,372,DC-RJ-01,RETAIL
VLX-2026-000117,2026-01-25,2026-01-30,Southeast,Porto Velho/RO,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,5,5,0,319,DC-SP-01,RETAIL
VLX-2026-000118,2026-01-04,2026-01-08,North,Recife/PE,Belem/PA,EXPRESS,DELIVERED_ON_TIME,4,4,0,544,DC-PA-01,ENTERPRISE
VLX-2026-000119,2026-06-27,2026-07-02,Southeast,Sao Paulo/SP,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,5,5,0,212,DC-SP-01,RETAIL
VLX-2026-000120,2026-03-03,2026-03-08,Southeast,Recife/PE,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,6,5,0,446,DC-SP-01,RETAIL
VLX-2026-000121,2026-07-25,2026-08-01,North,Sao Paulo/SP,Porto Velho/RO,STANDARD,DELIVERED_ON_TIME,7,7,0,1523,DC-AM-01,RETAIL
VLX-2026-000122,2026-02-28,2026-03-02,South,Belo Horizonte/MG,Curitiba/PR,EXPRESS,DELIVERED_ON_TIME,2,2,0,664,DC-PR-01,RETAIL
VLX-2026-000123,2026-05-27,2026-06-03,Central-West,Porto Alegre/RS,Brasilia/DF,STANDARD,DELIVERED_LATE,6,7,1,1186,DC-DF-01,RETAIL
VLX-2026-000124,2026-04-01,2026-04-07,South,Rio de Janeiro/RJ,Porto Alegre/RS,STANDARD,DELIVERED_ON_TIME,6,6,0,676,DC-PR-01,RETAIL
VLX-2026-000125,2026-02-14,2026-02-23,Northeast,Rio de Janeiro/RJ,Recife/PE,STANDARD,DELIVERED_LATE,7,9,2,1231,DC-BA-01,RETAIL
VLX-2026-000126,2026-02-09,2026-02-21,Southeast,Fortaleza/CE,Rio de Janeiro/RJ,STANDARD,DELIVERY_EXCEPTION,5,12,7,689,DC-RJ-01,RETAIL
VLX-2026-000127,2026-01-10,2026-01-13,Northeast,Rio de Janeiro/RJ,Salvador/BA,EXPRESS,DELIVERED_ON_TIME,3,3,0,1269,DC-CE-01,RETAIL
VLX-2026-000128,2026-08-02,2026-08-07,Central-West,Rio de Janeiro/RJ,Goiania/GO,STANDARD,DELIVERED_ON_TIME,6,5,0,625,DC-DF-01,RETAIL
VLX-2026-000129,2026-01-18,2026-01-24,Northeast,Curitiba/PR,Salvador/BA,STANDARD,DELIVERED_ON_TIME,6,6,0,706,DC-PE-01,RETAIL
VLX-2026-000130,2026-05-05,2026-05-07,Southeast,Porto Alegre/RS,Belo Horizonte/MG,EXPRESS,DELIVERED_ON_TIME,2,2,0,138,DC-RJ-01,SMB
VLX-2026-000131,2026-08-06,2026-08-12,South,Recife/PE,Porto Alegre/RS,EXPRESS,DELIVERED_LATE,2,6,4,444,DC-PR-01,RETAIL
VLX-2026-000132,2026-05-03,2026-05-08,Southeast,Brasilia/DF,Sao Paulo/SP,STANDARD,DELIVERED_ON_TIME,5,5,0,158,DC-SP-01,RETAIL
VLX-2026-000133,2026-07-18,2026-07-24,Central-West,Brasilia/DF,Goiania/GO,EXPRESS,DELIVERY_EXCEPTION,3,6,3,611,DC-GO-01,RETAIL
VLX-2026-000134,2026-02-25,2026-03-03,Southeast,Salvador/BA,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,6,6,0,124,DC-MG-01,RETAIL
VLX-2026-000135,2026-02-14,2026-02-20,Central-West,Florianopolis/SC,Goiania/GO,STANDARD,DELIVERED_ON_TIME,7,6,0,190,DC-DF-01,RETAIL
VLX-2026-000136,2026-06-16,2026-06-26,Northeast,Sao Paulo/SP,Fortaleza/CE,STANDARD,DELIVERED_LATE,7,10,3,1477,DC-BA-01,RETAIL
VLX-2026-000137,2026-03-12,2026-03-15,Northeast,Fortaleza/CE,Fortaleza/CE,EXPRESS,DELIVERED_ON_TIME,3,3,0,1391,DC-CE-01,RETAIL
VLX-2026-000138,2026-02-01,2026-02-03,South,Cuiaba/MT,Curitiba/PR,EXPRESS,DELIVERED_ON_TIME,2,2,0,615,DC-PR-01,RETAIL
VLX-2026-000139,2026-06-07,2026-06-12,Southeast,Recife/PE,Rio de Janeiro/RJ,STANDARD,DELIVERED_ON_TIME,5,5,0,941,DC-RJ-01,RETAIL
VLX-2026-000140,2026-03-14,2026-03-20,Central-West,Sao Paulo/SP,Cuiaba/MT,STANDARD,DELIVERED_ON_TIME,6,6,0,1667,DC-GO-01,ENTERPRISE
VLX-2026-000141,2026-08-09,2026-08-16,Northeast,Florianopolis/SC,Recife/PE,STANDARD,DELIVERED_LATE,6,7,1,681,DC-BA-01,RETAIL
VLX-2026-000142,2026-07-15,2026-07-17,Northeast,Fortaleza/CE,Recife/PE,EXPRESS,DELIVERED_ON_TIME,3,2,0,210,DC-BA-01,SMB
VLX-2026-000143,2026-05-14,2026-05-20,Northeast,Belo Horizonte/MG,Recife/PE,STANDARD,DELIVERED_ON_TIME,6,6,0,1194,DC-PE-01,RETAIL
VLX-2026-000144,2026-01-16,2026-01-19,Southeast,Porto Velho/RO,Belo Horizonte/MG,EXPRESS,DELIVERED_ON_TIME,3,3,0,547,DC-RJ-01,RETAIL
VLX-2026-000145,2026-02-28,2026-03-04,Northeast,Goiania/GO,Recife/PE,EXPRESS,DELIVERED_ON_TIME,4,4,0,1134,DC-CE-01,SMB
VLX-2026-000146,2026-03-03,2026-03-04,Southeast,Porto Alegre/RS,Rio de Janeiro/RJ,EXPRESS,DELIVERED_ON_TIME,2,1,0,1044,DC-MG-01,RETAIL
VLX-2026-000147,2026-06-10,2026-06-15,South,Salvador/BA,Curitiba/PR,STANDARD,DELIVERED_ON_TIME,6,5,0,170,DC-RS-01,ENTERPRISE
VLX-2026-000148,2026-06-12,2026-06-26,North,Porto Alegre/RS,Manaus/AM,STANDARD,DELIVERY_EXCEPTION,8,14,6,712,DC-AM-01,RETAIL
VLX-2026-000149,2026-06-17,2026-06-19,Southeast,Sao Paulo/SP,Sao Paulo/SP,EXPRESS,DELIVERED_ON_TIME,2,2,0,498,DC-RJ-01,RETAIL
VLX-2026-000150,2026-05-07,2026-05-15,South,Recife/PE,Florianopolis/SC,STANDARD,DELIVERY_EXCEPTION,5,8,3,345,DC-RS-01,RETAIL
VLX-2026-000151,2026-04-20,2026-04-27,Northeast,Goiania/GO,Fortaleza/CE,STANDARD,DELIVERED_ON_TIME,7,7,0,921,DC-CE-01,ENTERPRISE
VLX-2026-000152,2026-06-16,2026-06-22,Southeast,Porto Alegre/RS,Belo Horizonte/MG,STANDARD,DELIVERED_ON_TIME,6,6,0,1047,DC-MG-01,RETAIL
